num_patterns,average_pattern_depth,variance_pattern_depth,max_pattern_depth,min_pattern_depth,enumeration_time,typegen_time,solver_time,processing_time,total_time,program_gen_time,result
1,2.0,0.0,2,2,182,96,3238,114,7315,98,Sat
1,3.0,0.0,3,3,182,96,3167,108,7229,97,Sat
1,1.0,0.0,1,1,119,86,2758,112,6727,88,Unsat
1,1.0,0.0,1,1,171,288,6303,101,10385,291,Unsat
1,1.0,0.0,1,1,300,132,3234,2187622,2194874,138,Sat
1,2.0,0.0,2,2,300,132,4490,124,8728,137,Sat
4,2.75,0.1875,3,2,270,68,7749,132,13953,71,Unsat
1,3.0,0.0,3,3,270,68,0,88,673,75,Sat
1,2.0,0.0,2,2,270,68,0,80,609,71,Sat
2,2.0,0.0,2,2,270,68,5672,113,9803,69,Unsat
2,3.5,0.25,4,3,192,18,2757,100,6640,21,Unsat
2,4.0,0.0,4,4,192,18,2923,124,6886,21,Unsat
4,2.75,0.6875,4,2,192,18,2524,2066657,2072966,21,Unsat
1,2.0,0.0,2,2,227,125,0,124,829,130,Sat
1,3.0,0.0,3,3,227,125,3192,124,7682,127,Sat
2,2.0,0.0,2,2,227,125,3452,102,7431,128,Unsat
11,1.9090909,0.08264464,2,1,509,134,3723,146,8066,144,Unsat
1,2.0,0.0,2,2,353,186,0,97,672,194,Sat
1,3.0,0.0,3,3,353,186,0,85,609,189,Sat
2,2.5,0.25,3,2,353,186,5566,127,9786,189,Unsat
1,1.0,0.0,1,1,153,113,3777,105,7914,115,Unsat
2,2.5,0.25,3,2,231,124,6417,121,10713,129,Unsat
2,2.5,0.25,3,2,231,124,7845,139,12231,128,Unsat
2,2.5,0.25,3,2,187,45,2537,118,6389,49,Unsat
1,3.0,0.0,3,3,187,45,0,85,652,50,Sat
2,2.5,0.25,3,2,468,96,19630,141,24218,101,Sat
2,3.0,0.0,3,3,468,96,4003,129,8455,98,Sat
2,2.5,0.25,3,2,468,96,7556,138,12053,100,Sat
1,3.0,0.0,3,3,468,96,0,94,636,98,Sat
1,3.0,0.0,3,3,468,96,5291,131,9711,97,Sat
1,2.0,0.0,2,2,468,96,0,88,629,98,Sat
1,3.0,0.0,3,3,943,232,3176,150,7808,251,Sat
3,2.0,0.6666667,3,1,943,232,3189,24552193,24559826,241,Sat
1,2.0,0.0,2,2,943,232,3238,113,7632,254,Sat
1,3.0,0.0,3,3,943,232,3195,151,7608,241,Sat
1,2.0,0.0,2,2,265,72,2593,181,6507,78,Unsat
2,1.5,0.25,2,1,467,121,3211,111,7402,133,Sat
3,3.6666667,0.22222221,4,3,467,121,3112,115,7400,125,Sat
2,3.5,0.25,4,3,467,121,3048,127,7277,127,Sat
1,2.0,0.0,2,2,467,121,2924,140,7088,126,Sat
2,2.5,0.25,3,2,467,121,3057,132,7231,123,Sat
1,4.0,0.0,4,4,467,121,3138,105,7311,125,Sat
