original_total_changes,original_num_types,original_num_params,original_num_generics,original_num_patterns,original_num_nested_patterns,reduced_total_changes,reduced_num_types,reduced_num_params,reduced_num_generics,reduced_num_patterns,reduced_num_nested_patterns,time
74,8,10,11,13,45,15,4,2,7,1,2,63
69,8,10,11,12,40,15,4,2,7,1,2,42
26,7,8,5,2,6,12,4,1,4,1,3,17
74,8,10,11,13,45,15,4,2,7,1,2,59
71,8,10,11,12,42,15,4,2,7,1,2,58
73,8,10,11,12,44,15,4,2,7,1,2,42
75,8,10,11,13,46,15,4,2,7,1,2,48
75,8,10,11,13,46,15,4,2,7,1,2,52
72,8,10,11,12,43,15,4,2,7,1,2,74
74,8,10,11,13,45,15,4,2,7,1,2,39
75,8,10,11,13,46,15,4,2,7,1,2,87
70,8,10,11,12,41,15,4,2,7,1,2,62
74,8,10,11,13,45,15,4,2,7,1,2,47
80,8,10,11,14,51,15,4,2,7,1,2,60
74,8,10,11,13,45,15,4,2,7,1,2,56
75,8,10,11,13,46,15,4,2,7,1,2,63
74,8,10,11,13,45,15,4,2,7,1,2,59
73,8,10,11,12,44,15,4,2,7,1,2,109
70,8,10,11,12,41,15,4,2,7,1,2,41
71,8,10,11,12,42,15,4,2,7,1,2,42
79,8,10,11,14,50,15,4,2,7,1,2,50
29,7,8,5,3,9,10,3,1,3,1,3,22
74,8,10,11,13,45,15,4,2,7,1,2,70
75,8,10,11,13,46,15,4,2,7,1,2,100
74,8,10,11,13,45,15,4,2,7,1,2,41
81,8,10,11,14,52,15,4,2,7,1,2,65
74,8,10,11,13,45,15,4,2,7,1,2,78
74,8,10,11,13,45,15,4,2,7,1,2,57
71,8,10,11,12,42,15,4,2,7,1,2,66
78,8,10,11,14,49,15,4,2,7,1,2,83
75,8,10,11,13,46,15,4,2,7,1,2,75
74,8,10,11,13,45,15,4,2,7,1,2,76
68,8,10,11,12,39,15,4,2,7,1,2,83
82,8,10,11,14,53,15,4,2,7,1,2,83
79,8,10,11,14,50,15,4,2,7,1,2,78
72,8,10,11,12,43,15,4,2,7,1,2,63
75,8,10,11,13,46,15,4,2,7,1,2,66
75,8,10,11,13,46,15,4,2,7,1,2,59
9,3,1,3,1,2,9,3,1,3,1,2,2
26,8,9,8,1,1,26,8,9,8,1,1,0
4,2,0,1,1,1,4,2,0,1,1,1,0
42,4,9,4,7,25,12,3,3,3,1,3,25
23,4,9,4,2,6,7,2,1,2,1,2,17
19,4,9,4,1,2,7,2,1,2,1,2,17
38,4,9,4,6,21,7,2,1,2,1,2,23
34,4,9,4,5,17,7,2,1,2,1,2,22
34,4,9,4,5,17,7,2,1,2,1,2,22
34,4,9,4,5,17,7,2,1,2,1,2,21
33,4,9,4,5,16,11,3,3,3,1,2,21
